Number	Hanzi	Pinyin	Tone	Translation
7	二	èr	4	два
8	亠	tóu	2	крышка, верх
9	人(亻)	rén	2	человек
10	儿	ér	2	идущий человек, ребенок
11	入	rù	4	входить
12	八	bā	1	восемь
13	冂	jiōng	1	граница, пустырь за городом
14	冖	mì	4	накрывать, крышка сверху
15	冫	bīng	1	лед
16	几	jī	1	столик
17	凵	qiǎn	3	яма, открытый рот
18	刀(刂)	dāo	1	нож
19	力	lì	4	сила
20	勹	bāo	1	обертывать
21	匕	bǐ	3	кинжал, черпак
22	匚	fāng	1	короб, ящик
23	匸	xì	4	прятать, скрывать
24	十	shí	2	десять
25	卜	bǔ	3	гадать
26	卩	jié	2	печать, коленопреклоненный человек
27	厂	hǎn	3	обрыв, круча
28	厶	sī	1	личный, частный
29	又	yòu	4	опять, правая рука
