Number	Hanzi	Pinyin	Tone	Translation
118	竹	zhú	2	бамбук
119	米	mǐ	3	рис
120	糸(纟)	mì	4	нить, шелк
121	缶	fǒu	3	глиняная посуда (кувшин)
122	网(罒)	wǎng	3	сеть
123	羊	yáng	2	баран, коза
124	羽	yǔ	3	перья, крылья
125	老	lǎo	3	старый
126	而	ér	2	а, но, борода
127	耒	lěi	3	соха, плуг
128	耳	ěr	3	ухо
129	聿	yù	2	кисть для письма
130	肉(月)	ròu	4	мясо
131	臣	chén	2	сановник, подданный
132	自	zì	4	сам, нос
133	至	zhì	4	достигать, прибывать
134	臼	jiù	4	ступка
135	舌	shé	2	язык
136	舛	chuǎn	3	ошибка, неудача, расходиться
137	舟	zhōu	1	лодка
138	艮	gèn	4	твердый, крепкий
139	色	sè	4	цвет, выражение лица
140	艸(艹)	cǎo	3	трава
141	虍	hū	1	тигр, тигриные полосы
142	虫	chóng	2	насекомое, червь
143	血	xuè	4	кровь
144	行	xíng	2	идти, ряд
145	衣(衤)	yī	1	одежда
146	襾	yà	4	накрывать, крышка, запад
